"Code","ShortDescription"
"B88","Other infestations"
"B89","Unspecified parasitic disease"
"B90","Sequelae of tuberculosis"
"B91","Sequelae of poliomyelitis"
"B92","Sequelae of leprosy"
"B94","Sequelae of other and unspecified infectious and parasitic diseases"
"B95","Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere"
"B96","Other bacterial agents as the cause of diseases classified elsewhere"
"B97","Viral agents as the cause of diseases classified elsewhere"
"B98","Other infectious agents as cause of diseases"
"B99","Other and unspecified infectious diseases"
"C00","Malignant neoplasm of lip"
"C01","Malignant neoplasm of base of tongue"
"C02","Malignant neoplasm of other and unspecified parts of tongue"
"C03","Malignant neoplasm of gum"
"C04","Malignant neoplasm of floor of mouth"
"C05","Malignant neoplasm of palate"
"C06","Malignant neoplasm of other and unspecified parts of mouth"
"C07","Malignant neoplasm of parotid gland"
"C08","Malignant neoplasm of other and unspecified major salivary glands"
"C09","Malignant neoplasm of tonsil"
"C10","Malignant neoplasm of oropharynx"
"C11","Malignant neoplasm of nasopharynx"
"C12","Malignant neoplasm of pyriform sinus"
"C13","Malignant neoplasm of hypopharynx"
"C14","Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
"C15","Malignant neoplasm of esophagus"
"C16","Malignant neoplasm of stomach"
"C17","Malignant neoplasm of small intestine"
"C18","Malignant neoplasm of colon"
"C19","Malignant neoplasm of rectosigmoid junction"
"C20","Malignant neoplasm of rectum"
"C21","Malignant neoplasm of anus and anal canal"
"C22","Malignant neoplasm of liver and intrahepatic bile ducts"
"C23","Malignant neoplasm of gallbladder"
"C24","Malignant neoplasm of other and unspecified parts of biliary tract"
"C25","Malignant neoplasm of pancreas"
"C26","Malignant neoplasm of other and ill-defined digestive organs"
"C30","Malignant neoplasm of nasal cavity and middle ear"
"C31","Malignant neoplasm of accessory sinuses"
"C32","Malignant neoplasm of larynx"
"C33","Malignant neoplasm of trachea"
"C34","Malignant neoplasm of bronchus and lung"
"C37","Malignant neoplasm of thymus"
"C38","Malignant neoplasm of heart, mediastinum and pleura"
"C39","Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs"
"C40","Malignant neoplasm of bone and articular cartilage of limbs"
"C41","Malignant neoplasm of bone and articular cartilage of other and unspecified sites"
"C43","Malignant melanoma of skin"
"C44","Other and unspecified malignant neoplasm of skin"
"C45","Mesothelioma"
"C46","Kaposi's sarcoma"
"C47","Malignant neoplasm of peripheral nerves and autonomic nervous system"
"C48","Malignant neoplasm of retroperitoneum and peritoneum"
"C49","Malignant neoplasm of other connective and soft tissue"
"C50","Malignant neoplasm of breast"
"C51","Malignant neoplasm of vulva"
"C52","Malignant neoplasm of vagina"
"C53","Malignant neoplasm of cervix uteri"
"C54","Malignant neoplasm of corpus uteri"
"C55","Malignant neoplasm of uterus, part unspecified"
"C56","Malignant neoplasm of ovary"
"C57","Malignant neoplasm of other and unspecified female genital organs"
"C58","Malignant neoplasm of placenta"
"C60","Malignant neoplasm of penis"
"C61","Malignant neoplasm of prostate"
"C62","Malignant neoplasm of testis"
"C63","Malignant neoplasm of other and unspecified male genital organs"
"C64","Malignant neoplasm of kidney, except renal pelvis"
"C65","Malignant neoplasm of renal pelvis"
"C66","Malignant neoplasm of ureter"
"C67","Malignant neoplasm of bladder"
"C68","Malignant neoplasm of other and unspecified urinary organs"
"C69","Malignant neoplasm of eye and adnexa"
"C70","Malignant neoplasm of meninges"
"C71","Malignant neoplasm of brain"
"C72","Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
"C73","Malignant neoplasm of thyroid gland"
"C74","Malignant neoplasm of adrenal gland"
"C75","Malignant neoplasm of other endocrine glands and related structures"
"C76","Malignant neoplasm of other and ill-defined sites"
"C77","Secondary and unspecified malignant neoplasm of lymph nodes"
"C78","Secondary malignant neoplasm of respiratory and digestive organs"
"C79","Secondary malignant neoplasm of other and unspecified sites"
"C80","Malignant neoplasm without specification of site"
"C81","Hodgkin lymphoma"
"C82","Follicular lymphoma"
"C83","Non-follicular lymphoma"
"C84","Mature T/NK-cell lymphomas"
"C85","Other specified and unspecified types of non-Hodgkin lymphoma"
"C86","Other specified types of T/NK-cell lymphoma"
"C88","Malignant immunoproliferative diseases and certain other B-cell lymphomas"
"C90","Multiple myeloma and malignant plasma cell neoplasms"
"C91","Lymphoid leukemia"
"C92","Myeloid leukemia"
"C93","Monocytic leukemia"
"C94","Other leukemias of specified cell type"
"C95","Leukemia of unspecified cell type"
"C96","Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue"
"C97","Malignant neoplasms of multiple sites"
"D00","Carcinoma in situ of oral cavity, esophagus and stomach"
"D01","Carcinoma in situ of other and unspecified digestive organs"
"D02","Carcinoma in situ of middle ear and respiratory system"
"D03","Melanoma in situ"
"D04","Carcinoma in situ of skin"
"D05","Carcinoma in situ of breast"
"D06","Carcinoma in situ of cervix uteri"
"D07","Carcinoma in situ of other and unspecified genital organs"
"D09","Carcinoma in situ of other and unspecified sites"
"D10","Benign neoplasm of mouth and pharynx"
"D11","Benign neoplasm of major salivary glands"
"D12","Benign neoplasm of colon"
"D13","Benign neoplasm of other and ill-defined parts of digestive system"
"D14","Benign neoplasm of middle ear and respiratory system"
"D15","Benign neoplasm of other and unspecified intrathoracic organs"
"D16","Benign neoplasm of bone and articular cartilage"
"D17","Benign lipomatous neoplasm"
"D18","Hemangioma and lymphangioma, any site"
"D19","Benign neoplasm of mesothelial tissue"
"D20","Benign neoplasm of soft tissue of retroperitoneum and peritoneum"
"D21","Other benign neoplasms of connective and other soft tissue"
"D22","Melanocytic nevi"
"D23","Other benign neoplasms of skin"
"D24","Benign neoplasm of breast"
"D25","Leiomyoma of uterus"
"D26","Other benign neoplasms of uterus"
"D27","Benign neoplasm of ovary"
"D28","Benign neoplasm of other and unspecified female genital organs"
"D29","Benign neoplasm of male genital organs"
"D30","Benign neoplasm of urinary organs"
"D31","Benign neoplasm of eye and adnexa"
"D32","Benign neoplasm of meninges"
"D33","Benign neoplasm of brain and other parts of central nervous system"
"D34","Benign neoplasm of thyroid gland"
"D35","Benign neoplasm of other and unspecified endocrine glands"
"D36","Benign neoplasm of other and unspecified sites"
"D37","Neoplasm of uncertain behavior of oral cavity and digestive organs"
"D38","Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs"
"D39","Neoplasm of uncertain behavior of female genital organs"
"D40","Neoplasm of uncertain behavior of male genital organs"
"D41","Neoplasm of uncertain behavior of urinary organs"
"D42","Neoplasm of uncertain behavior of meninges"
"D43","Neoplasm of uncertain behavior of brain and central nervous system"
"D44","Neoplasm of uncertain behavior of endocrine glands"
"D45","Polycythemia vera"
"D46","Myelodysplastic syndromes"
"D47","Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
"D48","Neoplasm of uncertain behavior of other and unspecified sites"
"D50","Iron deficiency anemia"
"D51","Vitamin B12 deficiency anemia"
"D52","Folate deficiency anemia"
"D53","Other nutritional anemias"
"D55","Anemia due to enzyme disorders"
"D56","Thalassemia"
"D57","Sickle-cell disorders"
"D58","Other hereditary hemolytic anemias"
"D59","Acquired hemolytic anemia"
"D60","Acquired pure red cell aplasia [erythroblastopenia]"
"D61","Other aplastic anemias and other bone marrow failure syndromes"
"D62","Acute posthemorrhagic anemia"
"D63","Anemia in chronic diseases classified elsewhere"
"D64","Other anemias"
"D65","Disseminated intravascular coagulation [defibrination syndrome]"
"D66","Hereditary factor VIII deficiency"
"D67","Hereditary factor IX deficiency"
"D68","Other coagulation defects"
"D69","Purpura and other hemorrhagic conditions"
"D70","Neutropenia"
"D71","Functional disorders of polymorphonuclear neutrophils"
"D72","Other disorders of white blood cells"
"D73","Diseases of spleen"
"D74","Methemoglobinemia"
"D75","Other and unspecified diseases of blood and blood-forming organs"
"D76","Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue"
"D77","Other disorders of blood and blood-forming organs in diseases classified elsewhere"
"D80","Immunodeficiency with predominantly antibody defects"
"D81","Combined immunodeficiencies"
"D82","Immunodeficiency associated with other major defects"
"D83","Common variable immunodeficiency"
"D84","Other immunodeficiencies"
"D86","Sarcoidosis"
"D89","Other disorders involving the immune mechanism, not elsewhere classified"
"E00","Congenital iodine-deficiency syndrome"
"E01","Iodine-deficiency related thyroid disorders and allied conditions"
"E02","Subclinical iodine-deficiency hypothyroidism"
"E03","Other hypothyroidism"
"E04","Other nontoxic goiter"
"E05","Thyrotoxicosis [hyperthyroidism]"
"E06","Thyroiditis"
"E07","Other disorders of thyroid"
"E10","Type 1 diabetes mellitus"
"E11","Type 2 diabetes mellitus"
"E12","Malnutrition-related diabetes mellitus"
"E13","Other specified diabetes mellitus"
"E14","Unspecified diabetes mellitus"
"E15","Nondiabetic hypoglycemic coma"
"E16","Other disorders of pancreatic internal secretion"
"E20","Hypoparathyroidism"
"E21","Hyperparathyroidism and other disorders of parathyroid gland"
"E22","Hyperfunction of pituitary gland"
"E23","Hypofunction and other disorders of the pituitary gland"
"E24","Cushing's syndrome"
"E25","Adrenogenital disorders"
"E26","Hyperaldosteronism"
"E27","Other disorders of adrenal gland"
"E28","Ovarian dysfunction"
"E29","Testicular dysfunction"
"E30","Disorders of puberty, not elsewhere classified"
"E31","Polyglandular dysfunction"
"E32","Diseases of thymus"
"E34","Other endocrine disorders"
"E35","Disorders of endocrine glands in diseases classified elsewhere"
"E40","Kwashiorkor"
"E41","Nutritional marasmus"
"E42","Marasmic kwashiorkor"
"E43","Unspecified severe protein-calorie malnutrition"
"E44","Protein-calorie malnutrition of moderate and mild degree"
"E45","Retarded development following protein-calorie malnutrition"
"E46","Unspecified protein-calorie malnutrition"
"E50","Vitamin A deficiency"
"E51","Thiamine deficiency"
"E52","Niacin deficiency [pellagra]"
"E53","Deficiency of other B group vitamins"
"E54","Ascorbic acid deficiency"
"E55","Vitamin D deficiency"
"E56","Other vitamin deficiencies"
"E58","Dietary calcium deficiency"
"E59","Dietary selenium deficiency"
"E60","Dietary zinc deficiency"
"E61","Deficiency of other nutrient elements"
"E63","Other nutritional deficiencies"
"E64","Sequelae of malnutrition and other nutritional deficiencies"
"E65","Localized adiposity"
"E66","Overweight and obesity"
"E67","Other hyperalimentation"
"E68","Sequelae of hyperalimentation"
"E70","Disorders of aromatic amino-acid metabolism"
"E71","Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism"
"E72","Other disorders of amino-acid metabolism"
"E73","Lactose intolerance"
"E74","Other disorders of carbohydrate metabolism"
"E75","Disorders of sphingolipid metabolism and other lipid storage disorders"
"E76","Disorders of glycosaminoglycan metabolism"
"E77","Disorders of glycoprotein metabolism"
"E78","Disorders of lipoprotein metabolism and other lipidemias"
"E79","Disorders of purine and pyrimidine metabolism"
"E80","Disorders of porphyrin and bilirubin metabolism"
"E83","Disorders of mineral metabolism"
"E84","Cystic fibrosis"
"E85","Amyloidosis"
"E86","Volume depletion"
"E87","Other disorders of fluid, electrolyte and acid-base balance"
"E88","Other and unspecified metabolic disorders"
"E89","Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified"
"E90","Metabolic disorders"
"F00","Dementia in Alzheimer's disease"
"F01","Vascular dementia"
"F02","Dementia in other diseases classified elsewhere"
"F03","Unspecified dementia"
"F04","Amnestic disorder due to known physiological condition"
"F05","Delirium due to known physiological condition"
"F06","Other mental disorders due to known physiological condition"
"F07","Personality and behavioral disorders due to known physiological condition"
"F09","Unspecified mental disorder due to known physiological condition"
"F10","Alcohol related disorders"
"F11","Opioid related disorders"
"F12","Cannabis related disorders"
"F13","Sedative, hypnotic, or anxiolytic related disorders"
"F14","Cocaine related disorders"
"F15","Other stimulant related disorders"
"F16","Hallucinogen related disorders"
"F17","Nicotine dependence"
"F18","Inhalant related disorders"
"F19","Other psychoactive substance related disorders"
"F20","Schizophrenia"
"F21","Schizotypal disorder"
"F22","Delusional disorders"
"F23","Brief psychotic disorder"
"F24","Shared psychotic disorder"
"F25","Schizoaffective disorders"
"F28","Other psychotic disorder not due to a substance or known physiological condition"
"F29","Unspecified psychosis not due to a substance or known physiological condition"
"F30","Manic episode"
"F31","Bipolar disorder"
"F32","Major depressive disorder, single episode"
"F33","Major depressive disorder, recurrent"
"F34","Persistent mood [affective] disorders"
"F38","Other mood disorders"
"F39","Unspecified mood [affective] disorder"
"F40","Phobic anxiety disorders"
"F41","Other anxiety disorders"
"F42","Obsessive-compulsive disorder"
"F43","Reaction to severe stress, and adjustment disorders"
"F44","Dissociative and conversion disorders"
"F45","Somatoform disorders"
"F48","Other nonpsychotic mental disorders"
"F50","Eating disorders"
"F51","Sleep disorders not due to a substance or known physiological condition"
"F52","Sexual dysfunction not due to a substance or known physiological condition"
"F53","Puerperal psychosis"
"F54","Psychological and behavioral factors associated with disorders or diseases classified elsewhere"
"F55","Abuse of non-psychoactive substances"
"F59","Unspecified behavioral syndromes associated with physiological disturbances and physical factors"
"F60","Specific personality disorders"
"F61","Mixed and other personality disorders"
"F62","Enduring personality changes"
"F63","Impulse disorders"
"F64","Gender identity disorders"
"F65","Paraphilias"
"F66","Other sexual disorders"
"F68","Other disorders of adult personality and behavior"
"F69","Unspecified disorder of adult personality and behavior"
"F70","Mild intellectual disabilities"
"F71","Moderate intellectual disabilities"
"F72","Severe intellectual disabilities"
"F73","Profound intellectual disabilities"
"F78","Other intellectual disabilities"
"F79","Unspecified intellectual disabilities"
"F80","Specific developmental disorders of speech and language"
"F81","Specific developmental disorders of scholastic skills"
"F82","Specific developmental disorder of motor function"
"F83","Mixed specific developmental disorders"
"F84","Pervasive developmental disorders"
"F88","Other disorders of psychological development"
"F89","Unspecified disorder of psychological development"
"F90","Attention-deficit hyperactivity disorders"
"F91","Conduct disorders"
"F92","Mixed conduct and emotional disorders"
"F93","Emotional disorders with onset specific to childhood"
"F94","Disorders of social functioning with onset specific to childhood and adolescence"
"F95","Tic disorder"
"F98","Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence"
"F99","Mental disorder, not otherwise specified"
"G00","Bacterial meningitis, not elsewhere classified"
"G01","Meningitis in bacterial diseases classified elsewhere"
"G02","Meningitis in other infectious and parasitic diseases classified elsewhere"
"G03","Meningitis due to other and unspecified causes"
"G04","Encephalitis, myelitis and encephalomyelitis"
"G05","Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere"
"G06","Intracranial and intraspinal abscess and granuloma"
"G07","Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere"
"G08","Intracranial and intraspinal phlebitis and thrombophlebitis"
"G09","Sequelae of inflammatory diseases of central nervous system"
"G10","Huntington's disease"
"G11","Hereditary ataxia"
"G12","Spinal muscular atrophy and related syndromes"
"G13","Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere"
"G14","Postpolio syndrome"
"G20","Parkinson's disease"
"G21","Secondary parkinsonism"
"G22","Parkinsonism in other diseases"
"G23","Other degenerative diseases of basal ganglia"
"G24","Dystonia"
"G25","Other extrapyramidal and movement disorders"
"G26","Extrapyramidal and movement disorders in diseases classified elsewhere"
"G30","Alzheimer's disease"
"G31","Other degenerative diseases of nervous system, not elsewhere classified"
"G32","Other degenerative disorders of nervous system in diseases classified elsewhere"
"G35","Multiple sclerosis"
"G36","Other acute disseminated demyelination"
"G37","Other demyelinating diseases of central nervous system"
"G40","Epilepsy and recurrent seizures"
"G41","Status epilepticus"
"G43","Migraine"
"G44","Other headache syndromes"
"G45","Transient cerebral ischemic attacks and related syndromes"
"G46","Vascular syndromes of brain in cerebrovascular diseases"
"G47","Sleep disorders"
"G50","Disorders of trigeminal nerve"
"G51","Facial nerve disorders"
"G52","Disorders of other cranial nerves"
"G53","Cranial nerve disorders in diseases classified elsewhere"
"G54","Nerve root and plexus disorders"
"G55","Nerve root and plexus compressions in diseases classified elsewhere"
"G56","Mononeuropathies of upper limb"
"G57","Mononeuropathies of lower limb"
"G58","Other mononeuropathies"
"G59","Mononeuropathy in diseases classified elsewhere"
"G60","Hereditary and idiopathic neuropathy"
"G61","Inflammatory polyneuropathy"
"G62","Other and unspecified polyneuropathies"
"G63","Polyneuropathy in diseases classified elsewhere"
"G64","Other disorders of peripheral nervous system"
"G70","Myasthenia gravis and other myoneural disorders"
"G71","Primary disorders of muscles"
"G72","Other and unspecified myopathies"
"G73","Disorders of myoneural junction and muscle in diseases classified elsewhere"
"G80","Cerebral palsy"
"G81","Hemiplegia and hemiparesis"
"G82","Paraplegia (paraparesis) and quadriplegia (quadriparesis)"
"G83","Other paralytic syndromes"
"G90","Disorders of autonomic nervous system"
"G91","Hydrocephalus"
"G92","Toxic encephalopathy"
"G93","Other disorders of brain"
"G94","Other disorders of brain in diseases classified elsewhere"
"G95","Other and unspecified diseases of spinal cord"
"G96","Other disorders of central nervous system"
"G97","Intraoperative and postprocedural complications and disorders of nervous system, not elsewhere classified"
"G98","Other disorders of nervous system not elsewhere classified"
"G99","Other disorders of nervous system in diseases classified elsewhere"
"H00","Hordeolum and chalazion"
"H01","Other inflammation of eyelid"
"H02","Other disorders of eyelid"
"H03","Other disorders of eyelid"
"H04","Disorders of lacrimal system"
"H05","Disorders of orbit"
"H06","Disorders of lacrimal system"
"H10","Conjunctivitis"
"H11","Other disorders of conjunctiva"
"H13","Other disorders of conjunctiva"
"H15","Disorders of sclera"
"H16","Keratitis"
"H17","Corneal scars and opacities"
"H18","Other disorders of cornea"
"H19","Other disorders of sclera and cornea"
"H20","Iridocyclitis"
"H21","Other disorders of iris and ciliary body"
"H22","Disorders of iris and ciliary body in diseases classified elsewhere"
"H25","Age-related cataract"
"H26","Other cataract"
"H27","Other disorders of lens"
"H28","Cataract in diseases classified elsewhere"
"H30","Chorioretinal inflammation"
"H31","Other disorders of choroid"
"H32","Chorioretinal disorders in diseases classified elsewhere"
"H33","Retinal detachments and breaks"
"H34","Retinal vascular occlusions"
"H35","Other retinal disorders"
"H36","Retinal disorders in diseases classified elsewhere"
"H40","Glaucoma"
"H42","Glaucoma in diseases classified elsewhere"
"H43","Disorders of vitreous body"
"H44","Disorders of globe"
"H45","Disorders of vitreous body"
"H46","Optic neuritis"
"H47","Other disorders of optic [2nd] nerve and visual pathways"
"H48","Disorders of optic chiasm"
"H49","Paralytic strabismus"
"H50","Other strabismus"
"H51","Other disorders of binocular movement"
"H52","Disorders of refraction and accommodation"
"H53","Visual disturbances"
"H54","Blindness and low vision"
"H55","Nystagmus and other irregular eye movements"
"H57","Other disorders of eye and adnexa"
"H58","Other disorders of eye and adnexa"
"H59","Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified"
"H60","Otitis externa"
"H61","Other disorders of external ear"
"H62","Disorders of external ear in diseases classified elsewhere"
"H65","Nonsuppurative otitis media"
"H66","Suppurative and unspecified otitis media"
"H67","Otitis media in diseases classified elsewhere"
"H68","Eustachian salpingitis and obstruction"
"H69","Other and unspecified disorders of Eustachian tube"
"H70","Mastoiditis and related conditions"
"H71","Cholesteatoma of middle ear"
"H72","Perforation of tympanic membrane"
"H73","Other disorders of tympanic membrane"
"H74","Other disorders of middle ear mastoid"
"H75","Other disorders of middle ear and mastoid in diseases classified elsewhere"
"H80","Otosclerosis"
"H81","Disorders of vestibular function"
"H82","Vertiginous syndromes in diseases classified elsewhere"
"H83","Other diseases of inner ear"
"H90","Conductive and sensorineural hearing loss"
"H91","Other and unspecified hearing loss"
"H92","Otalgia and effusion of ear"
"H93","Other disorders of ear, not elsewhere classified"
"H94","Other disorders of ear in diseases classified elsewhere"
"H95","Intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified"
"I00","Rheumatic fever without heart involvement"
"I01","Rheumatic fever with heart involvement"
"I02","Rheumatic chorea"
"I05","Rheumatic mitral valve diseases"
"I06","Rheumatic aortic valve diseases"
"I07","Rheumatic tricuspid valve diseases"
"I08","Multiple valve diseases"
"I09","Other rheumatic heart diseases"
"I10","Essential (primary) hypertension"
"I11","Hypertensive heart disease"
"I12","Hypertensive chronic kidney disease"
"I13","Hypertensive heart and chronic kidney disease"
"I15","Secondary hypertension"
"I20","Angina pectoris"
"I21","Acute myocardial infarction"
"I22","Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction"
"I23","Certain current complications following ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (within the 28 day period)"
"I24","Other acute ischemic heart diseases"
"I25","Chronic ischemic heart disease"
"I26","Pulmonary embolism"
"I27","Other pulmonary heart diseases"
"I28","Other diseases of pulmonary vessels"
"I30","Acute pericarditis"
"I31","Other diseases of pericardium"
"I32","Pericarditis in diseases classified elsewhere"
"I33","Acute and subacute endocarditis"
"I34","Nonrheumatic mitral valve disorders"
"I35","Nonrheumatic aortic valve disorders"
"I36","Nonrheumatic tricuspid valve disorders"
"I37","Nonrheumatic pulmonary valve disorders"
"I38","Endocarditis, valve unspecified"
"I39","Endocarditis and heart valve disorders in diseases classified elsewhere"
"I40","Acute myocarditis"
"I41","Myocarditis in diseases classified elsewhere"
"I42","Cardiomyopathy"
"I43","Cardiomyopathy in diseases classified elsewhere"
"I44","Atrioventricular and left bundle-branch block"
"I45","Other conduction disorders"
"I46","Cardiac arrest"
"I47","Paroxysmal tachycardia"
"I48","Atrial fibrillation and flutter"
"I49","Other cardiac arrhythmias"
"I50","Heart failure"
"I51","Complications and ill-defined descriptions of heart disease"
"I52","Other heart disorders in diseases classified elsewhere"
"I60","Nontraumatic subarachnoid hemorrhage"
"I61","Nontraumatic intracerebral hemorrhage"
"I62","Other and unspecified nontraumatic intracranial hemorrhage"
"I63","Cerebral infarction"
"I64","Stroke, unspecified"
"I65","Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
"I66","Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"
"I67","Other cerebrovascular diseases"
"I68","Cerebrovascular disorders in diseases classified elsewhere"
"I69","Sequelae of cerebrovascular disease"
"I70","Atherosclerosis"
"I71","Aortic aneurysm and dissection"
"I72","Other aneurysm"
"I73","Other peripheral vascular diseases"
"I74","Arterial embolism and thrombosis"
"I77","Other disorders of arteries and arterioles"
"I78","Diseases of capillaries"
"I79","Disorders of arteries, arterioles and capillaries in diseases classified elsewhere"
"I80","Phlebitis and thrombophlebitis"
"I81","Portal vein thrombosis"
"I82","Other venous embolism and thrombosis"
"I83","Varicose veins of lower extremities"
"I84","Hemorrhoids"
"I85","Esophageal varices"
"I86","Varicose veins of other sites"
"I87","Other disorders of veins"
